"index","Genus","SpecificEpithet","InfraspecificRank","InfraspecificName","Authority","InfraspecificAuthority","AuthorityCorrected","Cultivar","OriginalName","TaxonNameAuthorCV","TaxonNameAuthor","TaxonNameCV","TaxonName","Code_No","Num","Family","EndangeredSpecies","RarePlants","ExoticPlants","KoreanEndemicPlants","ClimateSensitiveBiologicalIndicatorSpecies","KoreanRedListOfThreatenedSpecies","BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer","FloristicTargetSpecies","PlantsAdaptableToClimateChange","Native_NABI","Cultivated_NABI","Naturalized_NABI"
186,"Canavalia","ensiformis","","","(L.) DC.","","(L.) DC.","","Canavalia ensiformis (L.) DC.","Canavalia ensiformis (L.) DC.","Canavalia ensiformis (L.) DC.","Canavalia ensiformis","Canavalia ensiformis",3139,1219,"Fabaceae","","","","","","","","","","",1,""
187,"Canavalia","gladiata","","","(Jacq.) DC.","","(Jacq.) DC.","","Canavalia gladiata (Jacq.) DC.","Canavalia gladiata (Jacq.) DC.","Canavalia gladiata (Jacq.) DC.","Canavalia gladiata","Canavalia gladiata",3141,1220,"Fabaceae","","","","","","","","","","",1,""
188,"Caragana","sinica","","","(Buc'hoz) Rehder","","(Buc'hoz) Rehder","","Caragana sinica (Buc'hoz) Rehder","Caragana sinica (Buc'hoz) Rehder","Caragana sinica (Buc'hoz) Rehder","Caragana sinica","Caragana sinica",3170,1224,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
189,"Cercis","canadensis","","","L.","","L.","","Cercis canadensis L.","Cercis canadensis L.","Cercis canadensis L.","Cercis canadensis","Cercis canadensis",3880,1226,"Fabaceae","","","","","","","","","","",1,""
190,"Cercis","canadensis","f.","alba","L.","Rehder","Rehder","","Cercis canadensis L. forma alba Rehder","Cercis canadensis f. alba Rehder","Cercis canadensis f. alba Rehder","Cercis canadensis f. alba","Cercis canadensis f. alba",3876,1227,"Fabaceae","","","","","","","","","","",1,""
191,"Cercis","chinensis","","","Bunge","","Bunge","","Cercis chinensis Bunge","Cercis chinensis Bunge","Cercis chinensis Bunge","Cercis chinensis","Cercis chinensis",3884,1228,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
192,"Cercis","chinensis","f.","alba","Bunge","S.C.Hsu","S.C.Hsu","","Cercis chinensis Bunge forma alba S. C. Hsu","Cercis chinensis f. alba S.C.Hsu","Cercis chinensis f. alba S.C.Hsu","Cercis chinensis f. alba","Cercis chinensis f. alba",3885,1229,"Fabaceae","","","","","","","","","","",1,""
193,"Cytisus","scoparius","","","(L.) Link","","(L.) Link","","Cytisus scoparius (L.) Link","Cytisus scoparius (L.) Link","Cytisus scoparius (L.) Link","Cytisus scoparius","Cytisus scoparius",5328,1232,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
194,"Galega","officinalis","","","L.","","L.","","Galega officinalis L.","Galega officinalis L.","Galega officinalis L.","Galega officinalis","Galega officinalis",7192,1245,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
195,"Gleditsia","japonica","","","Miq.","","Miq.","","Gleditsia japonica Miq.","Gleditsia japonica Miq.","Gleditsia japonica Miq.","Gleditsia japonica","Gleditsia japonica",7528,1246,"Fabaceae","","","","","","","","","","1",1,""
196,"Gleditsia","japonica","f.","inarmata","Miq.","Nakai","Nakai","","Gleditsia japonica Miq. forma inarmata Nakai","Gleditsia japonica f. inarmata Nakai","Gleditsia japonica f. inarmata Nakai","Gleditsia japonica f. inarmata","Gleditsia japonica f. inarmata",7529,1248,"Fabaceae","","","","","","","","","","1",1,""
197,"Gleditsia","sinensis","","","Lam.","","Lam.","","Gleditsia sinensis Lam.","Gleditsia sinensis Lam.","Gleditsia sinensis Lam.","Gleditsia sinensis","Gleditsia sinensis",7533,1249,"Fabaceae","","","","","","","","","","",1,""
198,"Glycine","max","","","(L.) Merr.","","(L.) Merr.","","Glycine max (L.) Merr.","Glycine max (L.) Merr.","Glycine max (L.) Merr.","Glycine max","Glycine max",7563,1250,"Fabaceae","","","","","","","","","","",1,""
199,"Glycyrrhiza","pallidiflora","","","Maxim.","","Maxim.","","Glycyrrhiza pallidiflora Maxim.","Glycyrrhiza pallidiflora Maxim.","Glycyrrhiza pallidiflora Maxim.","Glycyrrhiza pallidiflora","Glycyrrhiza pallidiflora",7566,1252,"Fabaceae","","","","","","","","","","",1,""
200,"Glycyrrhiza","uralensis","","","Fisch. ex DC.","","Fisch. ex DC.","","Glycyrrhiza uralensis Fisch. ex DC.","Glycyrrhiza uralensis Fisch. ex DC.","Glycyrrhiza uralensis Fisch. ex DC.","Glycyrrhiza uralensis","Glycyrrhiza uralensis",7568,1253,"Fabaceae","","","","","","","","","","",1,""
201,"Indigofera","bungeana","","","Walp.","","Walp.","","Indigofera bungeana Walp.","Indigofera bungeana Walp.","Indigofera bungeana Walp.","Indigofera bungeana","Indigofera bungeana",9343,1260,"Fabaceae","","","IAP (CAP)","","","","","","","",1,"1"
202,"Lablab","purpureus","","","(L.) Sweet","","(L.) Sweet","","Lablab purpureus (L.) Sweet","Lablab purpureus (L.) Sweet","Lablab purpureus (L.) Sweet","Lablab purpureus","Lablab purpureus",9950,1268,"Fabaceae","","","","","","","","","","",1,""
203,"Lathyrus","aphaca","","","L.","","L.","","Lathyrus aphaca L.","Lathyrus aphaca L.","Lathyrus aphaca L.","Lathyrus aphaca","Lathyrus aphaca",20221,1269,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
204,"Lathyrus","odoratus","","","L.","","L.","","Lathyrus odoratus L.","Lathyrus odoratus L.","Lathyrus odoratus L.","Lathyrus odoratus","Lathyrus odoratus",10065,1275,"Fabaceae","","","","","","","","","","",1,""
205,"Lespedeza","davidii","","","Franch.","","Franch.","","Lespedeza davidii Franch.","Lespedeza davidii Franch.","Lespedeza davidii Franch.","Lespedeza davidii","Lespedeza davidii",10195,1288,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
206,"Lespedeza","floribunda","","","Bunge","","Bunge","","Lespedeza floribunda Bunge","Lespedeza floribunda Bunge","Lespedeza floribunda Bunge","Lespedeza floribunda","Lespedeza floribunda",10198,1290,"Fabaceae","","","PIP (UN)","","","","","","","",1,"1"
207,"Lotus","tenuis","","","Waldst. & Kit. ex Willd.","","Waldst. & Kit. ex Willd.","","Lotus tenuis Waldst. & Kit. ex Willd.","Lotus tenuis Waldst. & Kit. ex Willd.","Lotus tenuis Waldst. & Kit. ex Willd.","Lotus tenuis","Lotus tenuis",20222,1323,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
208,"Lupinus","angustifolius","","","L.","","L.","","Lupinus angustifolius L.","Lupinus angustifolius L.","Lupinus angustifolius L.","Lupinus angustifolius","Lupinus angustifolius",10743,1325,"Fabaceae","","","PIP (UN)","","","","","","","",1,""
209,"Mimosa","pudica","","","L.","","L.","","Mimosa pudica L.","Mimosa pudica L.","Mimosa pudica L.","Mimosa pudica","Mimosa pudica",11447,1338,"Fabaceae","","","PIP (CAP)","","","","","","","",1,""
210,"Phaseolus","multiflorus","","","Willd.","","Willd.","","Phaseolus multiflorus Willd.","Phaseolus multiflorus Willd.","Phaseolus multiflorus Willd.","Phaseolus multiflorus","Phaseolus multiflorus",12631,1344,"Fabaceae","","","","","","","","","","",1,""
211,"Phaseolus","vulgaris","","","L.","","L.","","Phaseolus vulgaris L.","Phaseolus vulgaris L.","Phaseolus vulgaris L.","Phaseolus vulgaris","Phaseolus vulgaris",12635,1345,"Fabaceae","","","","","","","","","","",1,""
212,"Pisum","sativum","","","L.","","L.","","Pisum sativum L.","Pisum sativum L.","Pisum sativum L.","Pisum sativum","Pisum sativum",13132,1346,"Fabaceae","","","","","","","","","","",1,""
213,"Pisum","sativum","var.","arvense","L.","(L.) Poir.","(L.) Poir.","","Pisum sativum L. var. arvense (L.) Poir.","Pisum sativum var. arvense (L.) Poir.","Pisum sativum var. arvense (L.) Poir.","Pisum sativum var. arvense","Pisum sativum var. arvense",13133,1347,"Fabaceae","","","","","","","","","","",1,""
214,"Robinia","hispida","","","L.","","L.","","Robinia hispida L.","Robinia hispida L.","Robinia hispida L.","Robinia hispida","Robinia hispida",14780,1351,"Fabaceae","","","","","","","","","","",1,""
215,"Robinia","pseudoacacia","","","L.","","L.","","Robinia pseudoacacia L.","Robinia pseudoacacia L.","Robinia pseudoacacia L.","Robinia pseudoacacia","Robinia pseudoacacia",14785,1352,"Fabaceae","","","IAP (NP)","","","","","","","",1,"1"
216,"Robinia","pseudoacacia","var.","umbraculifera","L.","DC.","DC.","","Robinia pseudoacacia L. var. umbraculifera DC.","Robinia pseudoacacia var. umbraculifera DC.","Robinia pseudoacacia var. umbraculifera DC.","Robinia pseudoacacia var. umbraculifera","Robinia pseudoacacia var. umbraculifera",14786,1353,"Fabaceae","","","","","","","","","","",1,""
217,"Senna","occidentalis","","","(L.) Link","","(L.) Link","","Senna occidentalis (L.) Link","Senna occidentalis (L.) Link","Senna occidentalis (L.) Link","Senna occidentalis","Senna occidentalis",15865,1355,"Fabaceae","","","PIP (CAP)","","","","","","","",1,""
218,"Senna","tora","","","(L.) Roxb.","","(L.) Roxb.","","Senna tora (L.) Roxb.","Senna tora (L.) Roxb.","Senna tora (L.) Roxb.","Senna tora","Senna tora",15867,1356,"Fabaceae","","","Arc.","","","","","","","",1,"1"
219,"Sophora","japonica","","","L.","","L.","","Sophora japonica L.","Sophora japonica L.","Sophora japonica L.","Sophora japonica","Sophora japonica",16088,1358,"Fabaceae","","","PIP (CAP)","","","","","","","",1,""
220,"Ulex","europaeus","","","L.","","L.","","Ulex europaeus L.","Ulex europaeus L.","Ulex europaeus L.","Ulex europaeus","Ulex europaeus",17100,1370,"Fabaceae","","","PIP (CAP)","","","","","","","",1,""
221,"Vicia","bungei","","","Ohwi","","Ohwi","","Vicia bungei Ohwi","Vicia bungei Ohwi","Vicia bungei Ohwi","Vicia bungei","Vicia bungei",17442,1380,"Fabaceae","","","","","","","1","Ⅳ","Northern","",1,""
222,"Vicia","villosa","","","Roth","","Roth","","Vicia villosa Roth","Vicia villosa Roth","Vicia villosa Roth","Vicia villosa","Vicia villosa",17480,1408,"Fabaceae","","","IAP (NP)","","","","","","","",1,"1"
223,"Vigna","angularis","","","(Willd.) Ohwi & H.Ohashi","","(Willd.) Ohwi & H.Ohashi","","Vigna angularis (Willd.) Ohwi & H. Ohashi","Vigna angularis (Willd.) Ohwi & H.Ohashi","Vigna angularis (Willd.) Ohwi & H.Ohashi","Vigna angularis","Vigna angularis",17483,1409,"Fabaceae","","","","","","","","","","",1,""
224,"Vigna","radiata","","","(L.) R.Wilczek","","(L.) R.Wilczek","","Vigna radiata (L.) R. Wilczek","Vigna radiata (L.) R.Wilczek","Vigna radiata (L.) R.Wilczek","Vigna radiata","Vigna radiata",17489,1412,"Fabaceae","","","","","","","","","","",1,""
225,"Vigna","umbellata","","","(Thunb.) Ohwi & H.Ohashi","","(Thunb.) Ohwi & H.Ohashi","","Vigna umbellata (Thunb.) Ohwi & H. Ohashi","Vigna umbellata (Thunb.) Ohwi & H.Ohashi","Vigna umbellata (Thunb.) Ohwi & H.Ohashi","Vigna umbellata","Vigna umbellata",17490,1413,"Fabaceae","","","","","","","","","","",1,""
226,"Vigna","unguiculata","","","(L.) Walp.","","(L.) Walp.","","Vigna unguiculata (L.) Walp.","Vigna unguiculata (L.) Walp.","Vigna unguiculata (L.) Walp.","Vigna unguiculata","Vigna unguiculata",17491,1414,"Fabaceae","","","","","","","","","","",1,""
227,"Wisteria","floribunda","","","(Willd.) DC.","","(Willd.) DC.","","Wisteria floribunda (Willd.) DC.","Wisteria floribunda (Willd.) DC.","Wisteria floribunda (Willd.) DC.","Wisteria floribunda","Wisteria floribunda",17695,1416,"Fabaceae","","","Arc.","","","","","Ⅳ","","1",1,"1"
228,"Polygala","tenuifolia","","","Willd.","","Willd.","","Polygala tenuifolia Willd.","Polygala tenuifolia Willd.","Polygala tenuifolia Willd.","Polygala tenuifolia","Polygala tenuifolia",13327,1423,"Polygalaceae","","CR","","","","NT","","Ⅳ","","1",1,""
229,"Cannabis","sativa","","","L.","","L.","","Cannabis sativa L.","Cannabis sativa L.","Cannabis sativa L.","Cannabis sativa","Cannabis sativa",3156,1426,"Cannabaceae","","","Arc.","","","","","","","",1,"1"
230,"Celtis","sinensis","","","Pers.","","Pers.","","Celtis sinensis Pers.","Celtis sinensis Pers.","Celtis sinensis Pers.","Celtis sinensis","Celtis sinensis",3788,1436,"Cannabaceae","","","","","","","","","","1",1,""
231,"Humulus","lupulus","","","L.","","L.","","Humulus lupulus L.","Humulus lupulus L.","Humulus lupulus L.","Humulus lupulus","Humulus lupulus",8716,1438,"Cannabaceae","","","","","","","","","","",1,""
232,"Elaeagnus","multiflora","","","Thunb.","","Thunb.","","Elaeagnus multiflora Thunb.","Elaeagnus multiflora Thunb.","Elaeagnus multiflora Thunb.","Elaeagnus multiflora","Elaeagnus multiflora",6181,1443,"Elaeagnaceae","","","","","","","","","","",1,""
233,"Hippophae","rhamnoides","","","L.","","L.","","Hippophae rhamnoides L.","Hippophae rhamnoides L.","Hippophae rhamnoides L.","Hippophae rhamnoides","Hippophae rhamnoides",8454,1452,"Elaeagnaceae","","","","","","","","","","",1,""
234,"Broussonetia","kazinoki","","","Siebold","","Siebold","","Broussonetia kazinoki Siebold","Broussonetia kazinoki Siebold","Broussonetia kazinoki Siebold","Broussonetia kazinoki","Broussonetia kazinoki",2451,1453,"Moraceae","","","","1","","","1","","","1",1,""
235,"Broussonetia","papyrifera","","","(L.) L'Her. ex Vent","","(L.) L'Her. ex Vent","","Broussonetia papyrifera (L.) L'Her. ex Vent","Broussonetia papyrifera (L.) L'Her. ex Vent","Broussonetia papyrifera (L.) L'Her. ex Vent","Broussonetia papyrifera","Broussonetia papyrifera",2455,1455,"Moraceae","","","","","","","1","","","1",1,""
236,"Cudrania","tricuspidata","","","Bureau ex Lavallée","","Bureau ex Lavallée","","Cudrania tricuspidata Bureau ex Lavallée","Cudrania tricuspidata Bureau ex Lavallée","Cudrania tricuspidata Bureau ex Lavallée","Cudrania tricuspidata","Cudrania tricuspidata",5127,1458,"Moraceae","","","","","","","1","","","1",1,""
237,"Ficus","benghalensis","","","L.","","L.","","Ficus benghalensis L.","Ficus benghalensis L.","Ficus benghalensis L.","Ficus benghalensis","Ficus benghalensis",6938,1460,"Moraceae","","","","","","","","","","",1,""
238,"Ficus","benjamina","","","L.","","L.","","Ficus benjamina L.","Ficus benjamina L.","Ficus benjamina L.","Ficus benjamina","Ficus benjamina",6939,1461,"Moraceae","","","","","","","","","","",1,""
239,"Ficus","carica","","","L.","","L.","","Ficus carica L.","Ficus carica L.","Ficus carica L.","Ficus carica","Ficus carica",6942,1462,"Moraceae","","","PIP (CAP)","","","","","","","",1,""
240,"Ficus","elastica","","","Roxb.","","Roxb.","","Ficus elastica Roxb.","Ficus elastica Roxb.","Ficus elastica Roxb.","Ficus elastica","Ficus elastica",6946,1463,"Moraceae","","","","","","","","","","",1,""
241,"Ficus","lyrata","","","Warb.","","Warb.","","Ficus lyrata Warb.","Ficus lyrata Warb.","Ficus lyrata Warb.","Ficus lyrata","Ficus lyrata",6955,1466,"Moraceae","","","","","","","","","","",1,""
242,"Morus","alba","","","L.","","L.","","Morus alba L.","Morus alba L.","Morus alba L.","Morus alba","Morus alba",11568,1469,"Moraceae","","","Arc.","","","","","","","",1,"1"
243,"Hovenia","dulcis","","","Thunb.","","Thunb.","","Hovenia dulcis Thunb.","Hovenia dulcis Thunb.","Hovenia dulcis Thunb.","Hovenia dulcis","Hovenia dulcis",8706,1481,"Rhamnaceae","","","","","","","1","Ⅰ","","1",1,""
244,"Ziziphus","jujuba","var.","inermis","Mill.","(Bunge) Rehder","(Bunge) Rehder","","Ziziphus jujuba Mill. var. inermis (Bunge) Rehder","Ziziphus jujuba var. inermis (Bunge) Rehder","Ziziphus jujuba var. inermis (Bunge) Rehder","Ziziphus jujuba var. inermis","Ziziphus jujuba var. inermis",17844,1497,"Rhamnaceae","","","","","","","1","","","",1,""
245,"Chaenomeles","japonica","","","(Thunb.) Lindl. ex Spach","","(Thunb.) Lindl. ex Spach","","Chaenomeles japonica (Thunb.) Lindl. ex Spach","Chaenomeles japonica (Thunb.) Lindl. ex Spach","Chaenomeles japonica (Thunb.) Lindl. ex Spach","Chaenomeles japonica","Chaenomeles japonica",3903,1505,"Rosaceae","","","PIP (CAP)","","","","","","","",1,""
246,"Chaenomeles","sinensis","","","(Thouin) Koehne","","(Thouin) Koehne","","Chaenomeles sinensis (Thouin) Koehne","Chaenomeles sinensis (Thouin) Koehne","Chaenomeles sinensis (Thouin) Koehne","Chaenomeles sinensis","Chaenomeles sinensis",3904,1506,"Rosaceae","","","","","","","","","","",1,""
247,"Chaenomeles","speciosa","","","(Sweet) Nakai","","(Sweet) Nakai","","Chaenomeles speciosa (Sweet) Nakai","Chaenomeles speciosa (Sweet) Nakai","Chaenomeles speciosa (Sweet) Nakai","Chaenomeles speciosa","Chaenomeles speciosa",3905,1507,"Rosaceae","","","PIP (CAP)","","","","","","","",1,""
248,"Cotoneaster","horizontalis","","","Decne.","","Decne.","","Cotoneaster horizontalis Decne.","Cotoneaster horizontalis Decne.","Cotoneaster horizontalis Decne.","Cotoneaster horizontalis","Cotoneaster horizontalis",4889,1509,"Rosaceae","","","","","","","","","","",1,""
249,"Crataegus","pinnatifida","","","Bunge","","Bunge","","Crataegus pinnatifida Bunge","Crataegus pinnatifida Bunge","Crataegus pinnatifida Bunge","Crataegus pinnatifida","Crataegus pinnatifida",4968,1514,"Rosaceae","","","","","","","1","","","1",1,""
250,"Crataegus","scabrida","","","Sarg.","","Sarg.","","Crataegus scabrida Sarg.","Crataegus scabrida Sarg.","Crataegus scabrida Sarg.","Crataegus scabrida","Crataegus scabrida",4983,1521,"Rosaceae","","","","","","","","","","",1,""
251,"Dryas","octopetala","","","L.","","L.","","Dryas octopetala L.","Dryas octopetala L.","Dryas octopetala L.","Dryas octopetala","Dryas octopetala",5973,1522,"Rosaceae","","","","","","","","","","1",1,""
252,"Eriobotrya","japonica","","","(Thunb.) Lindl.","","(Thunb.) Lindl.","","Eriobotrya japonica (Thunb.) Lindl.","Eriobotrya japonica (Thunb.) Lindl.","Eriobotrya japonica (Thunb.) Lindl.","Eriobotrya japonica","Eriobotrya japonica",6475,1525,"Rosaceae","","","","","","","","","","",1,""
253,"Filipendula","koreana","","","(Nakai) Nakai","","(Nakai) Nakai","","Filipendula koreana (Nakai) Nakai","Filipendula koreana (Nakai) Nakai","Filipendula koreana (Nakai) Nakai","Filipendula koreana","Filipendula koreana",6976,1531,"Rosaceae","","","","","","","","Ⅱ","","1",1,""
254,"Fragaria","× ananassa","","","Duchesne ex Rozier","","Duchesne ex Rozier","","Fragaria × ananassa Duchesne ex Rozier","Fragaria × ananassa Duchesne ex Rozier","Fragaria × ananassa Duchesne ex Rozier","Fragaria × ananassa","Fragaria × ananassa",7087,1537,"Rosaceae","","","","","","","","","","",1,""
255,"Kerria","japonica","","","(L.) DC.","","(L.) DC.","","Kerria japonica (L.) DC.","Kerria japonica (L.) DC.","Kerria japonica (L.) DC.","Kerria japonica","Kerria japonica",9887,1540,"Rosaceae","","","PIP (CAP)","","","","","","","",1,""
256,"Kerria","japonica","f.","pleniflora","(L.) DC.","(Witte) Rehder","(Witte) Rehder","","Kerria japonica (L.) DC. forma pleniflora (Witte) Rehder","Kerria japonica f. pleniflora (Witte) Rehder","Kerria japonica f. pleniflora (Witte) Rehder","Kerria japonica f. pleniflora","Kerria japonica f. pleniflora",9888,1541,"Rosaceae","","","","","","","","","","",1,""
257,"Malus","asiatica","","","Nakai","","Nakai","","Malus asiatica Nakai","Malus asiatica Nakai","Malus asiatica Nakai","Malus asiatica","Malus asiatica",11220,1542,"Rosaceae","","DD","","","","","","","","",1,""
258,"Malus","floribunda","","","Siebold ex Van Houtte","","Siebold ex Van Houtte","","Malus floribunda Siebold ex Van Houtte","Malus floribunda Siebold ex Van Houtte","Malus floribunda Siebold ex Van Houtte","Malus floribunda","Malus floribunda",11227,1547,"Rosaceae","","","","","","","","","","",1,""
259,"Malus","prunifolia","","","(Willd.) Borkh.","","(Willd.) Borkh.","","Malus prunifolia (Willd.) Borkh.","Malus prunifolia (Willd.) Borkh.","Malus prunifolia (Willd.) Borkh.","Malus prunifolia","Malus prunifolia",11231,1549,"Rosaceae","","","","","","","","","","",1,""
260,"Malus","pumila","","","Mill.","","Mill.","","Malus pumila Mill.","Malus pumila Mill.","Malus pumila Mill.","Malus pumila","Malus pumila",11233,1550,"Rosaceae","","","","","","","","","","",1,""
261,"Photinia","glabra","","","(Thunb.) Maxim.","","(Thunb.) Maxim.","","Photinia glabra (Thunb.) Maxim.","Photinia glabra (Thunb.) Maxim.","Photinia glabra (Thunb.) Maxim.","Photinia glabra","Photinia glabra",12768,1555,"Rosaceae","","","","","","","","","","",1,""
262,"Physocarpus","intermedius","","","(Rydb.) C.K.Schneid.","","(Rydb.) C.K.Schneid.","","Physocarpus intermedius (Rydb.) C. K. Schneid.","Physocarpus intermedius (Rydb.) C.K.Schneid.","Physocarpus intermedius (Rydb.) C.K.Schneid.","Physocarpus intermedius","Physocarpus intermedius",12823,1557,"Rosaceae","","","","","","","","","","",1,""
263,"Prunus","armeniaca","","","L.","","L.","","Prunus armeniaca L.","Prunus armeniaca L.","Prunus armeniaca L.","Prunus armeniaca","Prunus armeniaca",13723,1596,"Rosaceae","","","","","","","","","","",1,""
264,"Prunus","avium","","","(L.) L.","","(L.) L.","","Prunus avium (L.) L.","Prunus avium (L.) L.","Prunus avium (L.) L.","Prunus avium","Prunus avium",13729,1597,"Rosaceae","","","","","","","","","","",1,""
265,"Prunus","cerasifera","","","Ehrh.","","Ehrh.","","Prunus cerasifera Ehrh.","Prunus cerasifera Ehrh.","Prunus cerasifera Ehrh.","Prunus cerasifera","Prunus cerasifera",13735,1599,"Rosaceae","","","","","","","","","","",1,""
266,"Prunus","cerasus","","","L.","","L.","","Prunus cerasus L.","Prunus cerasus L.","Prunus cerasus L.","Prunus cerasus","Prunus cerasus",13738,1600,"Rosaceae","","","","","","","","","","",1,""
267,"Prunus","domestica","","","L.","","L.","","Prunus domestica L.","Prunus domestica L.","Prunus domestica L.","Prunus domestica","Prunus domestica",13745,1603,"Rosaceae","","","","","","","","","","",1,""
268,"Prunus","glandulosa","","","Thunb.","","Thunb.","","Prunus glandulosa Thunb.","Prunus glandulosa Thunb.","Prunus glandulosa Thunb.","Prunus glandulosa","Prunus glandulosa",13755,1604,"Rosaceae","","","","","","","","","","",1,""
269,"Prunus","glandulosa","f.","albiplena","Thunb.","Koehne","Koehne","","Prunus glandulosa Thunb. forma albiplena Koehne","Prunus glandulosa f. albiplena Koehne","Prunus glandulosa f. albiplena Koehne","Prunus glandulosa f. albiplena","Prunus glandulosa f. albiplena",13756,1605,"Rosaceae","","","","","","","","","","",1,""
270,"Prunus","glandulosa","f.","sinensis","Thunb.","(Pers.) Koehne","(Pers.) Koehne","","Prunus glandulosa Thunb. forma sinensis (Pers.) Koehne","Prunus glandulosa f. sinensis (Pers.) Koehne","Prunus glandulosa f. sinensis (Pers.) Koehne","Prunus glandulosa f. sinensis","Prunus glandulosa f. sinensis",13757,1606,"Rosaceae","","","","","","","","","","",1,""
271,"Prunus","mume","","","(Siebold) Siebold & Zucc.","","(Siebold) Siebold & Zucc.","","Prunus mume (Siebold) Siebold & Zucc.","Prunus mume (Siebold) Siebold & Zucc.","Prunus mume (Siebold) Siebold & Zucc.","Prunus mume","Prunus mume",13812,1621,"Rosaceae","","","","","","","","","","",1,""
272,"Prunus","mume","f.","alba","(Siebold) Siebold & Zucc.","(Carrière) Rehder","(Carrière) Rehder","","Prunus mume (Siebold) Siebold & Zucc. forma alba (Carrière) Rehder","Prunus mume f. alba (Carrière) Rehder","Prunus mume f. alba (Carrière) Rehder","Prunus mume f. alba","Prunus mume f. alba",13813,1622,"Rosaceae","","","","","","","","","","",1,""
273,"Prunus","mume","f.","alboplena","(Siebold) Siebold & Zucc.","(L.H.Bailey) Rehder","(L.H.Bailey) Rehder","","Prunus mume (Siebold) Siebold & Zucc. forma alboplena (L. H. Bailey) Rehder","Prunus mume f. alboplena (L.H.Bailey) Rehder","Prunus mume f. alboplena (L.H.Bailey) Rehder","Prunus mume f. alboplena","Prunus mume f. alboplena",13820,1623,"Rosaceae","","","","","","","","","","",1,""
274,"Prunus","mume","f.","alphandi","(Siebold) Siebold & Zucc.","(Carrière) Rehder","(Carrière) Rehder","","Prunus mume (Siebold) Siebold & Zucc. forma alphandi (Carrière) Rehder","Prunus mume f. alphandi (Carrière) Rehder","Prunus mume f. alphandi (Carrière) Rehder","Prunus mume f. alphandi","Prunus mume f. alphandi",13816,1624,"Rosaceae","","","","","","","","","","",1,""
275,"Prunus","persica","","","(L.) Batsch","","(L.) Batsch","","Prunus persica (L.) Batsch","Prunus persica (L.) Batsch","Prunus persica (L.) Batsch","Prunus persica","Prunus persica",13850,1630,"Rosaceae","","","Arc.","","","","","","","",1,"1"
276,"Prunus","persica","var.","nectarina","(L.) Batsch","Maxim.","Maxim.","","Prunus persica (L.) Batsch var. nectarina Maxim.","Prunus persica var. nectarina Maxim.","Prunus persica var. nectarina Maxim.","Prunus persica var. nectarina","Prunus persica var. nectarina",13857,1631,"Rosaceae","","","","","","","","","","",1,""
277,"Prunus","persica","f.","aganopersica","(L.) Batsch","(Rchb.) Voss","(Rchb.) Voss","","Prunus persica (L.) Batsch forma aganopersica (Rchb.) Voss","Prunus persica f. aganopersica (Rchb.) Voss","Prunus persica f. aganopersica (Rchb.) Voss","Prunus persica f. aganopersica","Prunus persica f. aganopersica",13851,1632,"Rosaceae","","","","","","","","","","",1,""
278,"Prunus","persica","f.","alba","(L.) Batsch","(Lindl.) C.K.Schneid.","(Lindl.) C.K.Schneid.","","Prunus persica (L.) Batsch forma alba (Lindl.) C. K. Schneid.","Prunus persica f. alba (Lindl.) C.K.Schneid.","Prunus persica f. alba (Lindl.) C.K.Schneid.","Prunus persica f. alba","Prunus persica f. alba",13852,1633,"Rosaceae","","","","","","","","","","",1,""
279,"Prunus","persica","f.","alboplena","(L.) Batsch","C.K.Schneid.","C.K.Schneid.","","Prunus persica (L.) Batsch forma alboplena C. K. Schneid.","Prunus persica f. alboplena C.K.Schneid.","Prunus persica f. alboplena C.K.Schneid.","Prunus persica f. alboplena","Prunus persica f. alboplena",13854,1634,"Rosaceae","","","","","","","","","","",1,""
280,"Prunus","persica","f.","rubroplena","(L.) Batsch","C.K.Schneid.","C.K.Schneid.","","Prunus persica (L.) Batsch forma rubroplena C. K. Schneid.","Prunus persica f. rubroplena C.K.Schneid.","Prunus persica f. rubroplena C.K.Schneid.","Prunus persica f. rubroplena","Prunus persica f. rubroplena",13856,1635,"Rosaceae","","","","","","","","","","",1,""
281,"Prunus","salicina","","","Lindl.","","Lindl.","","Prunus salicina Lindl.","Prunus salicina Lindl.","Prunus salicina Lindl.","Prunus salicina","Prunus salicina",13885,1636,"Rosaceae","","","","","","","","","","",1,""
282,"Prunus","salicina","var.","columnaris","Lindl.","(Uyeki) Uyeki","(Uyeki) Uyeki","","Prunus salicina Lindl. var. columnaris (Uyeki) Uyeki","Prunus salicina var. columnaris (Uyeki) Uyeki","Prunus salicina var. columnaris (Uyeki) Uyeki","Prunus salicina var. columnaris","Prunus salicina var. columnaris",13886,1637,"Rosaceae","","","","","","","","","","",1,""
283,"Prunus","serotina","","","Ehrh.","","Ehrh.","","Prunus serotina Ehrh.","Prunus serotina Ehrh.","Prunus serotina Ehrh.","Prunus serotina","Prunus serotina",13892,1639,"Rosaceae","","","","","","","","","","",1,""
