"index","Genus","SpecificEpithet","InfraspecificRank","InfraspecificName","Authority","InfraspecificAuthority","AuthorityCorrected","Cultivar","OriginalName","TaxonNameAuthorCV","TaxonNameAuthor","TaxonNameCV","TaxonName","Code_No","Num","Family","EndangeredSpecies","RarePlants","ExoticPlants","KoreanEndemicPlants","ClimateSensitiveBiologicalIndicatorSpecies","KoreanRedListOfThreatenedSpecies","BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer","FloristicTargetSpecies","PlantsAdaptableToClimateChange","Native_NABI","Cultivated_NABI","Naturalized_NABI"
17,"Abies","firma","","","Siebold & Zucc.","","Siebold & Zucc.","","Abies firma Siebold & Zucc.","Abies firma Siebold & Zucc.","Abies firma Siebold & Zucc.","Abies firma","Abies firma",36,409,"Pinaceae","","","","","","","","","","",1,""
18,"Abies","koreana","","","E.H.Wilson","","E.H.Wilson","","Abies koreana E. H. Wilson","Abies koreana E.H.Wilson","Abies koreana E.H.Wilson","Abies koreana","Abies koreana",41,411,"Pinaceae","","LC","","1","1","EN","1","Ⅲ","endemic","1",1,""
19,"Abies","koreana","f.","chlorocarpa","E.H.Wilson","T.B.Lee","T.B.Lee","","Abies koreana E. H. Wilson forma chlorocarpa T. B. Lee","Abies koreana f. chlorocarpa T.B.Lee","Abies koreana f. chlorocarpa T.B.Lee","Abies koreana f. chlorocarpa","Abies koreana f. chlorocarpa",42,412,"Pinaceae","","","","","","","","","","1",1,""
20,"Abies","koreana","f.","nigrocarpa","E.H.Wilson","Hatus.","Hatus.","","Abies koreana E. H. Wilson forma nigrocarpa Hatus.","Abies koreana f. nigrocarpa Hatus.","Abies koreana f. nigrocarpa Hatus.","Abies koreana f. nigrocarpa","Abies koreana f. nigrocarpa",43,413,"Pinaceae","","","","","","","","","","1",1,""
21,"Abies","koreana","f.","rubrocarpa","E.H.Wilson","T.B.Lee","T.B.Lee","","Abies koreana E. H. Wilson forma rubrocarpa T. B. Lee","Abies koreana f. rubrocarpa T.B.Lee","Abies koreana f. rubrocarpa T.B.Lee","Abies koreana f. rubrocarpa","Abies koreana f. rubrocarpa",44,414,"Pinaceae","","","","","","","","","","1",1,""
22,"Abies","nephrolepis","","","(Trautv. ex Maxim.) Maxim.","","(Trautv. ex Maxim.) Maxim.","","Abies nephrolepis (Trautv. ex Maxim.) Maxim.","Abies nephrolepis (Trautv. ex Maxim.) Maxim.","Abies nephrolepis (Trautv. ex Maxim.) Maxim.","Abies nephrolepis","Abies nephrolepis",53,415,"Pinaceae","","","","","1","","1","Ⅲ","Northern","1",1,""
23,"Cedrus","deodara","","","(Roxb. ex D.Don) G.Don","","(Roxb. ex D.Don) G.Don","","Cedrus deodara (Roxb. ex D. Don) G. Don","Cedrus deodara (Roxb. ex D.Don) G.Don","Cedrus deodara (Roxb. ex D.Don) G.Don","Cedrus deodara","Cedrus deodara",3739,417,"Pinaceae","","","","","","","","","","1",1,""
24,"Larix","kaempferi","","","(Lamb.) Carrière","","(Lamb.) Carrière","","Larix kaempferi (Lamb.) Carrière","Larix kaempferi (Lamb.) Carrière","Larix kaempferi (Lamb.) Carrière","Larix kaempferi","Larix kaempferi",10046,419,"Pinaceae","","","PIP (CAP)","","","","","","","",1,""
25,"Picea","abies","","","(L.) H.Karst.","","(L.) H.Karst.","","Picea abies (L.) H. Karst.","Picea abies (L.) H.Karst.","Picea abies (L.) H.Karst.","Picea abies","Picea abies",12841,422,"Pinaceae","","","","","","","","","","",1,""
26,"Picea","jezoensis","","","(Siebold & Zucc.) Carrière","","(Siebold & Zucc.) Carrière","","Picea jezoensis (Siebold & Zucc.) Carrière","Picea jezoensis (Siebold & Zucc.) Carrière","Picea jezoensis (Siebold & Zucc.) Carrière","Picea jezoensis","Picea jezoensis",12878,423,"Pinaceae","","VU","","","","VU","1","Ⅲ","Northern","1",1,""
