"taxon_name"
"Acanthocladia"
"Alga"
"Anomalophycus"
"Arthroporella"
"Arthrosira"
"Aspergina"
"Baccacoccum"
"Bassonia"
"Bisporium"
"Buthotrephis"
"Californiella"
"Callymenia"
"Centrocarya"
"Ceramium"
"Chalicostroma"
"Chenilleophycus"
"Cliftonea"
"Coronoides"
"Cretacicrusta"
"Darvaziella"
"Dasycirriphycus"
"Dasyclonia"
"Dasythamnion"
"Desmia"
"Desmsia"
"Diademus"
"Endocricosphaera"
"Erinacea"
"Euspiros"
"Fuucs"
"Gelidinium"
"Getaeia"
"Globulifer"
"Gloiodermis"
"Guangxilamina"
"Helminthostachya"
"Heterocladium"
"Johnstonia"
"Laurentia"
"Litholepsis"
"Lochmophycus"
"Maimonachaetetes"
"Manitobia"
"Menselina"
"Microsporium"
"Muda"
"Oligosiphonia"
"Pachydasya"
"Paraepiphyton"
"Pasinia"
"Phyllocladia"
"Plectenchymella"
"Polyspermum"
"Pseudogelidium"
"Pseudokomia"
"Qataria"
"Saranaella"
"Shujana"
"Stereocaulon"
"Subtifloria"
"Thaiporella"
"Trigenia"
"Umbellula"
"Valmeyeraphycus"
"Vertebralia"
"Visheraia"
"Yendoella"
"Zaganolomia"
"Cuneiphycus"
"Donezella"
"Enigma"
"Entocolax"
"Eurysolenopora"
"Herpophyllum"
"Lobocolax"
"Masloviporenilla"
"Masloviporidium"
"Qingjiangthallus"
"Ramicrusta"
"Roseolithon"
"Angusticellularia"
"Corematocladus"
"Lomentarites"
"Acanthina"
"Batinevia"
"Botominella"
"Trubchinia"
"Kordephyton"
"Angulocellularia"
"Chabakovia"
"Cornutula"
"Kyzassia"
"Demidella"
"Paralancicula"
"Erbina"
"Fistulella"
"Flabellina"
"Honanella"
"Kadvoya"
"Katavella"
"Kundatia"
"Ansoporella"
"Contexta"
"Furcatoporella"
"Moniliporella"
"Plexa"
"Texturata"
"Villosoporella"
"Mucilina"
"Amgaina"
"Chomustachia"
"Keega"
"Parachabakovia"
"Potentillina"
"Amganella"
"Aolissacus"
"Koivaella"
"Palaeonites"
"Proaulopora"
"Vologdinella"
"Pseudoanthos"
"Tarthinia"
"Pustularia"
"Cambrina"
"Filaria"
"Sajania"
"Vologdinia"
"Serligia"
"Sporinula"
"Taninia"
"Tomentula"
"Madagascaria"
"Pseudoerythrocladia"
"Ceramial"
"Delesserites"
"Paleothamnion"
"Ptilocladiopsis"
"Amorfia"
"Amphithallia"
"Arenigiphyllum"
"Graticula"
"Halysis"
"Lasneria"
"Nematothallopsis"
"Phormidiodea"
"Phormidioidea"
"Pseudochaetetes"
"Pseudosolenopora"
"Solenoporella"
"Tetonophycus"
"Chondrides"
"Parachaetetes"
"Grammephora"
"Corallinapetra"
"Asteroaoujgalia"
"Costacheoides"
"Roquesselsia"
"Sinustacheoides"
"Valuzieria"
"Falsocalcifolium"
"Asterocalculus"
"Diversocallis"
"Gymnocodium"
"Nanjinophycus"
"Permocalculus"
"Aoujgalia"
"Cheggatella"
"Cheggatellina"
"Epistacheoides"
"Erevanella"
"Foliophycus"
"Fourstonella"
"Komia"
"Parastacheia"
"Petschoria"
"Praedonezella"
"Pseudostacheoides"
"Stacheia"
"Stacheoides"
"Ungdarella"
"Ungdarella"
"Ungdarellita"
"Uralites"
"Palaeoaplysinella"
"Ditabulipora"
"Eopalaeoaplysina"
"Palaeoaplysina"
"Allogonium"
"Bangia"
"Bangiomorpha"
"Boreophyllum"
"Clymene"
"Conchocelichnus"
"Dione"
"Fuscifolium"
"Kuwaitiella"
"Lysithea"
"Minerva"
"Neomiuraea"
"Neoporphyra"
"Neopyropia"
"Neothemis"
"Palaeoconchocelis"
"Phycocalidia"
"Porphyra"
"Porphyrea"
"Porphyrella"
"Pseudobangia"
"Pyropia"
"Spermogonia"
"Themis"
"Uedaea"
"Wildemania"
"Wildemania"
"Zachariasia"
"Granufilum"
"Chroodactylon"
"Stylonema"
"Boldia"
"Compsopogon"
"Pulvinaster"
"Ceramicola"
"Chlidophyllon"
"Erythrocladia"
"Erythropeltis"
"Erythrotrichia"
"Porphyropsis"
"Porphyrostromium"
"Pyrophyllon"
"Sahlingia"
"Smithora"
