Alternative,Standard
Robert Brown,R.Br.
R.Brown,R.Br.
Redoute,Redouté
Räuschel,Raeusch.
Raeuschel,Raeusch.
Rafinesque,Raf.
de Ramatuelle,Ramat.
Ramatuelle,Ramat.
Raymond-Hamet,Raym.-Hamet
Reichenbach,Rchb.
Reinwardt,Reinw.
Retzius,Retz.
Richard,Rich.
Reinwardt,Reinw.
Requien,Req.
Roemer,Roem.
Roxburgh,Roxb.
Rothmaler,Rothm.
Rottboell,Rottb.
Rottbøll,Rottb.
Rumphius,Rumph.
Saint-Hilaire,St.-Hil.
Salisbury,Salisb.
Salm Dyck,Salm-Dyck
Salm-Reifferscheid-Dyck,Salm-Dyck
Scheidweiler,Scheidw.
Schlechter,Schltr.
Schlechtendal,Schltdl.
Schleicher,Schleich.
Schmalhausen,Schmalh.
Schneider,Schneid.
Schousboe,Schousb.
Schrader,Schrad.
Schreber,Schreb.
Schuebler,Schübl.
Schübler,Schübl.
Schultes,Schult.
Schultz Bipontinus,Sch.Bip.
Schumacher,Schumach.
Schumann,Schum.
Schweigger,Schweigg.
Schwägrichen,Schwägr.
Schwaegrichen,Schwägr.
Schweinfurth,Schweinf.
Scopoli,Scop.
Seemann,Seem.
Sibthorp,Sibth.
Smith,Sm.
Solander,Sol.
Solms-Laubach,Solms
Sonnerat,Sonn.
Sonder,Sond.
Spegazzini,Speg.
Sprengel,Spreng.
St.Hilaire,St.-Hil.
Stackhouse,Stackh.
Sternberg,Sternb.
Steudel,Steud.
Summerhayes,Summerh.
Steyermark,Steyerm.
Sventenius,Svent.
Swartz,Sw.
Szyszyłowicz,Szyszył.
Szyszylowicz,Szyszył.
Tenore,Ten.
Teijsmann,Teijsm.
Teysmann,Teijsm.
Thuillier,Thuill.
Thunberg,Thunb.
Thonning,Thonn.
Torrey,Torr.
Tournefort,Tourn.
Trattinnick,Tratt.
Trautvetter,Trautv.
Treviranus,Trevir.
Trinius,Trin.
Turczaninow,Turcz.
Turchaninov,Turcz.
Dumont d'Urville ,d'Urv.
d'Urville,d'Urv.
Urville,d'Urv.
Vaillant,Vaill.
Vandelli,Vand.
Vellozo,Vell.
Ventenat,Vent.
Vieillard,Vieill.
Villars,Vill.
Visiani,Vis.
Viviani,Viv.
Vvedensky,Vved.
Fischer,Fisch.
von Ledebour,Ledeb.
Ledebour,Ledeb.
von Poellnitz,Poelln.
Poellnitz,Poelln.
Wahlenberg,Wahlenb.
Waldstein,Waldst.
Wallich,Wall.
Wangenheim,Wangenh.
Warszewicz,Warsz.
Wasshausen,Wassh.
Weddell,Wedd.
Weinmann,Weinm.
Welwitsch,Welw.
Wendland,Wendl.
Werdermann,Werderm.
Wettstein,Wettst.
Wiggers,Wigg.
Wikström,Wikstr.
Willdenow,Willd.
Wimmer,Wimm.
Wormskjold,Wormsk.
Wormskiold,Wormsk.
Zeyher,Zeyh.
Zippelius,Zipp.
Zollikofer,Zollik.
Zuccarini,Zucc.
