Code_No,Num,Family,TaxonName,EndangeredSpecies,RarePlants,ExoticPlants,KoreanEndemicPlants,ClimateSensitiveBiologicalIndicatorSpecies,KoreanRedListOfThreatenedSpecies,BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer,FloristicTargetSpecies,PlantsAdaptableToClimateChange,Native_NABI,Cultivated_NABI,Naturalized_NABI
12823,1557,Rosaceae,Physocarpus intermedius (Rydb.) C. K. Schneid.,,,,,,,,,,,1,
13723,1596,Rosaceae,Prunus armeniaca L.,,,,,,,,,,,1,
13729,1597,Rosaceae,Prunus avium (L.) L.,,,,,,,,,,,1,
13735,1599,Rosaceae,Prunus cerasifera Ehrh.,,,,,,,,,,,1,
13738,1600,Rosaceae,Prunus cerasus L.,,,,,,,,,,,1,
13745,1603,Rosaceae,Prunus domestica L.,,,,,,,,,,,1,
13755,1604,Rosaceae,Prunus glandulosa Thunb.,,,,,,,,,,,1,
13756,1605,Rosaceae,Prunus glandulosa Thunb. forma albiplena Koehne,,,,,,,,,,,1,
13757,1606,Rosaceae,Prunus glandulosa Thunb. forma sinensis (Pers.) Koehne,,,,,,,,,,,1,
13812,1621,Rosaceae,Prunus mume (Siebold) Siebold & Zucc.,,,,,,,,,,,1,
13813,1622,Rosaceae,Prunus mume (Siebold) Siebold & Zucc. forma alba (Carrière) Rehder,,,,,,,,,,,1,
13820,1623,Rosaceae,Prunus mume (Siebold) Siebold & Zucc. forma alboplena (L. H. Bailey) Rehder,,,,,,,,,,,1,
13816,1624,Rosaceae,Prunus mume (Siebold) Siebold & Zucc. forma alphandi (Carrière) Rehder,,,,,,,,,,,1,
13850,1630,Rosaceae,Prunus persica (L.) Batsch,,,Arc.,,,,,,,,1,1
13857,1631,Rosaceae,Prunus persica (L.) Batsch var. nectarina Maxim.,,,,,,,,,,,1,
13851,1632,Rosaceae,Prunus persica (L.) Batsch forma aganopersica (Rchb.) Voss,,,,,,,,,,,1,
13852,1633,Rosaceae,Prunus persica (L.) Batsch forma alba (Lindl.) C. K. Schneid.,,,,,,,,,,,1,
13854,1634,Rosaceae,Prunus persica (L.) Batsch forma alboplena C. K. Schneid.,,,,,,,,,,,1,
13856,1635,Rosaceae,Prunus persica (L.) Batsch forma rubroplena C. K. Schneid.,,,,,,,,,,,1,
13885,1636,Rosaceae,Prunus salicina Lindl.,,,,,,,,,,,1,
13886,1637,Rosaceae,Prunus salicina Lindl. var. columnaris (Uyeki) Uyeki,,,,,,,,,,,1,
13892,1639,Rosaceae,Prunus serotina Ehrh.,,,,,,,,,,,1,
13912,1647,Rosaceae,Prunus spachiana (Lavallée ex H. Otto) Kitam.,,,,,,,,,,,1,
13914,1649,Rosaceae,Prunus speciosa (Koidz.) Nakai,,,PIP (CAP),,,,,,,,1,
13926,1651,Rosaceae,Prunus tomentosa Thunb.,,,PIP (CAP),,,,,,,,1,
20089,1657,Rosaceae,Prunus × yedoensis Matsum.,,,,,,,,,,,1,
14106,1658,Rosaceae,Pyracantha angustifolia (Franch.) C. K. Schneid.,,,,,,,,,,,1,
14146,1660,Rosaceae,Pyrus communis L.,,,,,,,,,,,1,
14152,1664,Rosaceae,Pyrus pyrifolia (Burm. f.) Nakai var. cultiva (Makino) Nakai,,,,,,,,,,,1,
14158,1666,Rosaceae,Pyrus ussuriensis Maxim.,,,,,,,1,Ⅰ,,1,1,
14162,1670,Rosaceae,Pyrus ussuriensis Maxim. var. macrostipes (Nakai) T. B. Lee,,,,,,,,,,,1,
14345,1679,Rosaceae,Rhaphiolepis indica (L.) Lindl. var. umbellata (Thunb.) Ohashi,,,,,1,,1,Ⅲ,Southern,1,1,
14811,1682,Rosaceae,Rosa banksiae R. Br.,,,,,,,,,,,1,
14813,1683,Rosaceae,Rosa chinensis Jacq.,,,,,,,,,,,1,
14869,1696,Rosaceae,Rosa multiflora Thunb. var. platyphylla Thory,,,PIP (CAP),,,,,,,,1,
14884,1698,Rosaceae,Rosa rugosa Thunb.,,,,,,,1,Ⅱ,,1,1,
14885,1701,Rosaceae,Rosa rugosa Thunb. forma plena (Regel) Bijh.,,,,,,,,,,,1,
14901,1708,Rosaceae,Rosa xanthina Lindl.,,,,,,,,,,,1,
14946,1715,Rosaceae,Rubus coreanus Miq.,,,,,,,1,,,1,1,
14976,1730,Rosaceae,Rubus occidentalis L.,,,,,,,,,,,1,
15290,1750,Rosaceae,Sanguisorba minor Scop.,,,PIP (UN),,,,,,,,1,
16096,1760,Rosaceae,Sorbaria sorbifolia (L.) A. Braun var. stellipila Maxim.,,,,,,,1,Ⅲ,,1,1,
16102,1763,Rosaceae,Sorbus alnifolia (Siebold & Zucc.) C. Koch,,,,,,,1,,,1,1,
16127,1772,Rosaceae,Sorbus commixta Hedl.,,,,,,,1,Ⅱ,,1,1,
16195,1780,Rosaceae,Spiraea cantoniensis Lour.,,,PIP (CAP),,,,,,,,1,
16210,1787,Rosaceae,Spiraea japonica L. f.,,,,,,,,,,,1,
16224,1793,Rosaceae,Spiraea prunifolia Siebold & Zucc. var. simpliciflora (Nakai) Nakai,,,,,,,1,,,1,1,
16235,1799,Rosaceae,Spiraea thunbergii Siebold ex Blume,,,PIP (CAP),,,,,,,,1,
16318,1803,Rosaceae,Stephanandra tanakae Franch. & Sav.,,,,,,,,,,,1,
17117,1812,Ulmaceae,Ulmus parvifolia Jacq.,,,,,,,1,Ⅰ,,1,1,
17815,1815,Ulmaceae,Zelkova serrata (Thunb.) Makino,,,,,,,1,,,1,1,
2320,1819,Urticaceae,Boehmeria nivea (L.) Gaudich.,,,,,,,,,,1,1,
2107,1851,Begoniaceae,Begonia semperflorens Link & Otto,,,,,,,,,,,1,
2119,1853,Cucurbitaceae,Benincasa hispida (Thunb.) Cogn.,,,,,,,,,,,1,
4265,1854,Cucurbitaceae,Citrullus battich Forssk.,,,PIP (CAP),,,,,,,,1,
5118,1855,Cucurbitaceae,Cucumis melo L.,,,PIP (CAP),,,,,,,,1,
5119,1856,Cucurbitaceae,Cucumis melo L. var. makuwa Makino,,,,,,,,,,,1,
5121,1857,Cucurbitaceae,Cucumis sativus L.,,,,,,,,,,,1,
5123,1858,Cucurbitaceae,Cucurbita moschata Duchesne,,,,,,,,,,,1,
9983,1860,Cucurbitaceae,Lagenaria leucantha Rusby var. gourda (Ser.) Makino,,,,,,,,,,,1,
9987,1861,Cucurbitaceae,Lagenaria siceraria (Molina) Standl. var. depressa (Ser.) H. Hara,,,,,,,,,,,1,
10737,1862,Cucurbitaceae,Luffa cylindrica (L.) M. Roem.,,,,,,,,,,,1,
11527,1864,Cucurbitaceae,Momordica charantia L.,,,,,,,,,,,1,
16919,1869,Cucurbitaceae,Trichosanthes kirilowii Maxim.,,,,,,,1,,,1,1,
16920,1870,Cucurbitaceae,Trichosanthes kirilowii Maxim. var. japonica (Miq.) Kitam.,,,,,,,1,Ⅲ,,1,1,
917,1872,Betulaceae,Alnus firma Siebold & Zucc.,,,PIP (CAP),,,,,,,,1,
925,1873,Betulaceae,Alnus hirsuta Turcz. ex Rupr.,,,,,,,,,,1,1,
947,1883,Betulaceae,Alnus pendula Matsum.,,,PIP (CAP),,,,,,,,1,
2219,1891,Betulaceae,Betula fruticosa Pall.,,,,,,,,,,1,1,
2238,1893,Betulaceae,Betula pendula Roth,,,,,,,,,,1,1,
3589,1903,Betulaceae,Carpinus turczaninowii Hance,,,,,,,,Ⅰ,,1,1,
3677,1910,Fagaceae,Castanea crenata Siebold & Zucc.,,,,,,,,,,1,1,
3685,1911,Fagaceae,Castanea crenata Siebold & Zucc. var. kusakuri (Blume) A. Camus,,,,,,,,,,1,1,
3690,1912,Fagaceae,Castanea mollissima Blume,,,,,,,,,,1,1,
14196,1919,Fagaceae,Quercus acutissima Carruth.,,,,,,,1,,,1,1,
14200,1920,Fagaceae,Quercus aliena Blume,,,,,,,,,,1,1,
14224,1931,Fagaceae,Quercus ilex L.,,,,,,,,,,,1,
14229,1932,Fagaceae,Quercus mongolica Fisch. ex Ledeb.,,,,,,,,,,1,1,
14238,1936,Fagaceae,Quercus palustris Munchh.,,,,,,,,,,,1,
14240,1937,Fagaceae,Quercus phillyreoides A. Gray,,,,,,,,,,,1,
14245,1938,Fagaceae,Quercus rubra L.,,,,,,,,,,,1,
14251,1941,Fagaceae,Quercus serrata Murray,,,,,,,,,,1,1,
14255,1943,Fagaceae,Quercus variabilis Blume,,,,,,,1,,,1,1,
9693,1956,Juglandaceae,Juglans regia L.,,,,,,,,,,,1,
14028,1959,Juglandaceae,Pterocarya rhoifolia Siebold & Zucc.,,,,,,,,,,,1,
14029,1960,Juglandaceae,Pterocarya stenoptera C. DC.,,,IAP (NP),,,,,,,,1,1
6524,1963,Geraniaceae,Erodium moschatum (L.) L'Hér.,,,,,,,,,,,1,
7450,1992,Geraniaceae,Geranium wlassovianum Fisch. ex Link,,,,,,,,,,1,1,
12402,1993,Geraniaceae,Pelargonium inquinans (L.) L'Hér.,,,,,,,,,,,1,
9993,1996,Lythraceae,Lagerstroemia indica L.,,,Arc.,,,,,,,,1,1
9994,1997,Lythraceae,Lagerstroemia indica L. forma alba (W. A. Nicholson) Rehder,,,,,,,,,,,1,
14099,2000,Lythraceae,Punica granatum L.,,,,,,,,,,,1,
2677,2014,Myrtaceae,Callistemon speciosus (Sims) Sweet,,,,,,,,,,,1,
4010,2015,Onagraceae,Chamerion angustifolium (L.) Holub,,EN,,,,VU,1,Ⅳ,Northern,1,1,
7165,2037,Onagraceae,Fuchsia hybrida hort. ex Siebold & Voss,,,,,,,,,,,1,
7289,2038,Onagraceae,Gaura lindheimeri Engelm. & A. Gray,,,PIP (CAP),,,,,,,,1,
20185,2042,Onagraceae,Ludwigia peploides (Kunth) P. H. Raven subsp. montevidensis (Spreng.) P.H. Raven,,,PIP (CAP),,,,,,,,1,1
11926,2044,Onagraceae,Oenothera fruticosa L.,,,,,,,,,,,1,
11934,2047,Onagraceae,Oenothera macrocarpa Nutt.,,,IAP (CAP),,,,,,,,1,1
11940,2048,Onagraceae,Oenothera rosea L'Hér. ex Aiton,,,IAP (CAP),,,,,,,,1,1
11942,2049,Onagraceae,Oenothera speciosa Nutt.,,,PIP (CAP),,,,,,,,1,1
11947,2051,Onagraceae,Oenothera tetragona Roth,,,,,,,,,,,1,
16279,2052,Stachyuraceae,Stachyurus praecox Siebold & Zucc.,,,,,,,,,,1,1,
4860,2055,Anacardiaceae,Cotinus coggygria Scop.,,,,,,,,,,,1,
16854,2061,Anacardiaceae,Toxicodendron vernicifluum (Stokes) F. A. Barkley,,,Arc.,,,,,,,,1,1
3732,2062,Meliaceae,Cedrela sinensis Juss.,,,Arc.,,,,,,,,1,1
11348,2063,Meliaceae,Melia azedarach L.,,,Arc.,,1,,,Ⅲ,,,1,1
4268,2064,Rutaceae,Citrus aurantium L.,,,,,,,,,,,1,
4269,2065,Rutaceae,Citrus junos Siebold ex Tanaka,,,,,,,,,,,1,
4272,2066,Rutaceae,Citrus medica L.,,,,,,,,,,,1,
4274,2067,Rutaceae,Citrus natsudaidai Hayata,,,,,,,,,,,1,
4275,2068,Rutaceae,Citrus sinensis (L.) Osbeck,,,,,,,,,,,1,
4277,2070,Rutaceae,Citrus unshiu (Swingle) Marcow.,,,,,,,,,,,1,
4279,2071,Rutaceae,Citrus × aurantium L.,,,,,,,,,,,1,
6610,2074,Rutaceae,Euodia daniellii (Benn.) Hemsl.,,,,,,,,,,,1,
7072,2075,Rutaceae,Fortunella japonica (Thunb.) Swingle,,,,,,,,,,,1,
7073,2076,Rutaceae,Fortunella japonica (Thunb.) Swingle var. magarita (Swingle) Makino,,,,,,,,,,,1,
13476,2082,Rutaceae,Poncirus trifoliata (L.) Raf.,,,,,,,,Ⅲ,,,1,
16602,2083,Rutaceae,Tetradium ruticarpum (A. Juss.) T. G. Hartley,,,,,,,,,,,1,
108,2095,Sapindaceae,Acer buergerianum Miq.,,,PIP (CAP),,,,,,,,1,
158,2099,Sapindaceae,Acer mandshuricum Maxim.,,,,,,,,Ⅲ,Northern,1,1,
172,2105,Sapindaceae,Acer negundo L.,,,,,,,,,,,1,
173,2106,Sapindaceae,Acer negundo L. var. violaceum Booth ex G. Kirchn.,,,,,,,,,,,1,
181,2108,Sapindaceae,Acer opalus Mill.,,,,,,,,,,,1,
249,2110,Sapindaceae,Acer palmatum Thunb. var. dissectum (Thunb.) Miq.,,,,,,,,,,,1,
259,2111,Sapindaceae,Acer palmatum Thunb. var. matsumurae (Koidz.) Makino,,,,,,,,,,,1,
241,2112,Sapindaceae,Acer palmatum Thunb. var. nakaii Uyeki,,,,,,,,,,1,1,
309,2119,Sapindaceae,Acer pubipalmatum W. P. Fang,,,,,,,,,,,1,
310,2120,Sapindaceae,Acer pycnanthum K. Koch,,,,,,,,,,,1,
315,2121,Sapindaceae,Acer rubrum L.,,,,,,,,,,,1,
319,2122,Sapindaceae,Acer rufinerve Siebold & Zucc.,,,,,,,,,,,1,
320,2123,Sapindaceae,Acer saccharinum L.,,,PIP (CAP),,,,,,,,1,
322,2124,Sapindaceae,Acer saccharum Marshall,,,,,,,,,,,1,
325,2125,Sapindaceae,Acer serrulatum Hayata,,,,,,,,,,,1,
332,2126,Sapindaceae,Acer spicatum Lam.,,,,,,,,,,,1,
346,2130,Sapindaceae,Acer triflorum Kom.,,,,,,,1,Ⅲ,Northern,1,1,
353,2134,Sapindaceae,Acer velutinum Boiss.,,,,,,,,,,,1,
621,2135,Sapindaceae,Aesculus hippocastanum L.,,,,,,,,,,,1,
629,2136,Sapindaceae,Aesculus turbinata Blume,,,PIP (CAP),,,,,,,,1,
3206,2137,Sapindaceae,Cardiospermum halicacabum L.,,,,,,,,,,,1,
9935,2138,Sapindaceae,Koelreuteria paniculata Laxm.,,VU,,,,,1,Ⅲ,,1,1,
15323,2139,Sapindaceae,Sapindus mukorossi Gaertn.,,,,,,,,Ⅲ,,,1,
744,2140,Simaroubaceae,Ailanthus altissimus (Mill.) Swingle,,,Arc.,,,,,,,,1,1
67,2143,Malvaceae,Abutilon theophrasti Medik.,,,Arc.,,,,,,,,1,1
997,2144,Malvaceae,Althaea cannabina L.,,,,,,,,,,,1,
999,2145,Malvaceae,Althaea rosea (L.) Cav.,,,PIP (UN),,,,,,,,1,
1247,2146,Malvaceae,Anisodontea capensis (L.) D. M. Bates,,,,,,,,,,,1,
1252,2147,Malvaceae,Anoda cristata (L.) Schltdl.,,,PIP (CAP),,,,,,,,1,1
4616,2151,Malvaceae,Corchorus capsularis L.,,,PIP (CAP),,,,,,,,1,
7030,2152,Malvaceae,Firmiana simplex (L.) W. Wight,,,Arc.,,,,,,,,1,1
7593,2153,Malvaceae,Gossypium indicum Lam.,,,,,,,,,,,1,
7615,2155,Malvaceae,Grewia occidentalis L.,,,,,,,,,,,1,
8220,2157,Malvaceae,Hibiscus cannabinus L.,,,,,,,,,,,1,
8221,2158,Malvaceae,Hibiscus diversifolius Jacq.,,,,,,,,,,,1,
8224,2160,Malvaceae,Hibiscus lavateroides Moric.,,,,,,,,,,,1,
8226,2161,Malvaceae,Hibiscus manihot L.,,,,,,,,,,,1,
8227,2162,Malvaceae,Hibiscus moscheutos L.,,,,,,,,,,,1,
8229,2163,Malvaceae,Hibiscus mutabilis L.,,,PIP (CAP),,,,,,,,1,
8233,2164,Malvaceae,Hibiscus rosa-sinensis L.,,,,,,,,,,,1,
8334,2165,Malvaceae,Hibiscus syriacus L.,,,PIP (CAP),,,,,,,,1,
8428,2166,Malvaceae,Hibiscus syriacus L. var. micranthus Y. N. Lee & K. B. Yim,,,,,,,,,,,1,
11253,2172,Malvaceae,Malva verticillata L.,,,PIP (UN),,,,,,,,1,
16797,2180,Malvaceae,Tilia kiusiana Makino & Shiras.,,,,,,,,,,,1,
16802,2185,Malvaceae,Tilia miqueliana Maxim.,,,,,,,,,,,1,
5376,2194,Thymelaeaceae,Daphne odora Thunb.,,,,,,,,,,,1,
6163,2197,Thymelaeaceae,Edgeworthia chrysantha Lindl.,,,PIP (CAP),,,,,,,,1,
1007,2202,Brassicaceae,Alyssum wulfenianum Benth. ex Willd.,,,,,,,,,,,1,
1354,2203,Brassicaceae,Arabidopsis thaliana (L.) Heynh.,,,,,,,,Ⅳ,,1,1,
1528,2218,Brassicaceae,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",,,IAP (CAP),,,,,,,,1,1
2388,2223,Brassicaceae,Brassica juncea (L.) Czern.,,,Arc.,,,,,,,,1,1
2390,2224,Brassicaceae,Brassica napus L.,,,Arc.,,,,,,,,1,1
2392,2225,Brassicaceae,Brassica oleracea L. var. botrytis L.,,,,,,,,,,,1,
2393,2226,Brassicaceae,Brassica oleracea L. var. capitata L.,,,,,,,,,,,1,
2395,2227,Brassicaceae,Brassica oleracea L. var. italica Plenck,,,,,,,,,,,1,
2402,2228,Brassicaceae,Brassica rapa L.,,,,,,,,,,,1,
2404,2229,Brassicaceae,Brassica rapa L. var. glabra Regel,,,,,,,,,,,1,
2728,2232,Brassicaceae,Camelina sativa (L.) Crantz,,,IAP (NP),,,,,,,,1,1
3161,2233,Brassicaceae,Capsella bursa-pastoris (L.) Medik.,,,,,,,,,,1,1,
3195,2252,Brassicaceae,Cardamine pratensis L.,,,,,,,,,,,1,
4022,2259,Brassicaceae,Cheiranthus cheiri L.,,,,,,,,,,,1,
20224,2263,Brassicaceae,Conringia orientalis (L.) C. Presl,,,PIP (UN),,,,,,,,1,
4928,2265,Brassicaceae,Crambe cordifolia Steven,,,,,,,,,,,1,
5519,2266,Brassicaceae,Descurainia pinnata Britton,,,PIP (UN),,,,,,,,1,1
6529,2279,Brassicaceae,Erucastrum gallicum O. E. Schulz,,,PIP (UN),,,,,,,,1,1
6822,2283,Brassicaceae,Eutrema wasabi (Siebold) Maxim.,cancel,DD,,,,DD,1,Ⅳ,,1,1,
8923,2284,Brassicaceae,Iberis amara L.,,,PIP (CAP),,,,,,,,1,
10143,2286,Brassicaceae,Lepidium apetalum Willd.,,,PIP (UN),,,,,,,,1,1
20225,2290,Brassicaceae,Lepidium densiflorum Schrad.,,,PIP (UN),,,,,,,,1,
10150,2292,Brassicaceae,Lepidium latifolium L.,,,PIP (UN),,,,,,,,1,1
10153,2295,Brassicaceae,Lepidium ruderale L.,,,PIP (UN),,,,,,,,1,1
10154,2296,Brassicaceae,Lepidium sativum L.,,,PIP (UN),,,,,,,,1,
10629,2299,Brassicaceae,Lobularia maritima (L.) Desv.,,,,,,,,,,,1,
11629,2300,Brassicaceae,Myagrum perfoliatum L.,,,PIP (UN),,,,,,,,1,1
11707,2301,Brassicaceae,Nasturtium officinale R. Br.,,,IAP (NP),,,,,,,,1,1
11799,2302,Brassicaceae,Neslia paniculata (L.) Desv.,,,PIP (UN),,,,,,,,1,1
12067,2303,Brassicaceae,Orychophragmus violaceus (L.) O. E. Schulz,,,PIP (CAP),,,,,,,,1,1
14315,2304,Brassicaceae,Raphanus raphanistrum L.,,,PIP (UN),,,,,,,,1,1
14316,2305,Brassicaceae,Raphanus sativus L.,,,,,,,,,,,1,
14319,2307,Brassicaceae,Rapistrum rugosum (L.) All.,,,PIP (UN),,,,,,,,1,1
16705,2323,Brassicaceae,Thlaspi arvense L.,,,Arc.,,,,,,,,1,1
4422,2325,Cleomaceae,Cleome spinosa Jacq.,,,,,,,,,,,1,
17013,2326,Tropaeolaceae,Tropaeolum majus L.,,,,,,,,,,,1,
10019,2334,Aizoaceae,Lampranthus aureus N. E. Br.,,,,,,,,,,,1,
10021,2335,Aizoaceae,Lampranthus spectabilis (Haw.) N. E. Br.,,,,,,,,,,,1,
20226,2339,Amaranthaceae,Alternanthera sessilis (L.) R. Br. ex DC.,,,PIP (CAP),,,,,,,,1,
1008,2340,Amaranthaceae,Amaranthus albus L.,,,PIP (UN),,,,,,,,1,1
1009,2341,Amaranthaceae,Amaranthus arenicola I. M. Johnst.,,,PIP (UN),,,,,,,,1,1
1011,2342,Amaranthaceae,Amaranthus caudatus L.,,,IAP (NP),,,,,,,,1,1
1014,2345,Amaranthaceae,Amaranthus lividus L.,,,Arc.,,,,,,,,1,1
1017,2347,Amaranthaceae,Amaranthus palmeri S. Watson,,,PIP (UN),,,,,,,,1,1
1019,2350,Amaranthaceae,Amaranthus retroflexus L.,,,PIP (UN),,,,,,,,1,1
1021,2352,Amaranthaceae,Amaranthus tricolor L.,,,PIP (UN),,,,,,,,1,
2203,2360,Amaranthaceae,Beta vulgaris L. var. altissima Döll,,,,,,,,,,,1,
2205,2361,Amaranthaceae,Beta vulgaris L. var. cicla L.,,,,,,,,,,,1,
3765,2363,Amaranthaceae,Celosia argentea L. var. plumosa Voss,,,,,,,,,,,1,
3767,2364,Amaranthaceae,Celosia cristata L.,,,,,,,,,,,1,
4051,2375,Amaranthaceae,Chenopodium hybridum L.,,,PIP (UN),,,,,,,,1,1
7577,2385,Amaranthaceae,Gomphrena globosa L.,,,PIP (CAP),,,,,,,,1,
9923,2386,Amaranthaceae,Kochia scoparia (L.) Schrad.,,,IAP (NP),,,,,,,,1,1
16190,2392,Amaranthaceae,Spinacia oleracea L.,,,,,,,,,,,1,
11999,2399,Cactaceae,Opuntia ficusindica (L.) Mill.,,,PIP (CAP),,,,,,,1,1,
12001,2400,Cactaceae,Opuntia humifusa (Raf.) Raf.,,,PIP (CAP),,,,,,,,1,
20112,2401,Cactaceae,Opuntia monacantha Haw.,,,PIP (CAP),,,,,,,,1,1
17863,2402,Cactaceae,Zygocactus truncatus K. Schum.,,,,,,,,,,,1,
718,2403,Caryophyllaceae,Agrostemma githago L.,,,PIP (UN),,,,,,,,1,
5587,2417,Caryophyllaceae,Dianthus armeria L.,,,IAP (CAP),,,,,,,,1,1
5589,2418,Caryophyllaceae,Dianthus barbatus L. var. aisaticus Nakai,,,PIP (CAP),,,,,,,1,1,
5604,2419,Caryophyllaceae,Dianthus caryophyllus L.,,,PIP (CAP),,,,,,,,1,
5616,2420,Caryophyllaceae,Dianthus chinensis L.,,,,,,,1,,,1,1,
5618,2421,Caryophyllaceae,Dianthus chinensis L. var. morii (Nakai) Y. C. Chu,,,,,,,,,,1,1,
5625,2424,Caryophyllaceae,Dianthus deltoides L.,,,,,,,,,,,1,
5642,2427,Caryophyllaceae,Dianthus longicalyx Miq.,,,,,,,1,,,1,1,
5663,2429,Caryophyllaceae,Dianthus superbus L.,,,,,,,,,,,1,
7694,2433,Caryophyllaceae,Gypsophila elegans M. Bieb.,,,,,,,,,,,1,
10776,2440,Caryophyllaceae,Lychnis coronaria (L.) Desr.,,,,,,,,,,,1,1
20227,2450,Caryophyllaceae,Psammophiliella muralis (L.) Ikonn.,,,PIP (CAP),,,,,,,,1,
15330,2480,Caryophyllaceae,Saponaria officinalis L.,,,IAP (CAP),,,,,,,,1,1
16182,2505,Caryophyllaceae,Spergularia marina (L.) Griseb,,,,,,,1,,,1,1,
17154,2521,Caryophyllaceae,Vaccaria hispanica (Mill.) Rauschert,,,PIP (UN),,,,,,,,1,1
5968,2526,Droseraceae,Drosera spatulata Labill.,,,,,,,,,,,1,
11464,2529,Nyctaginaceae,Mirabilis jalapa L.,,,IAP (NP),,,,,,,,1,1
12836,2530,Phytolaccaceae,Phytolacca acinosa Roxb.,,,Arc.,,,,1,Ⅳ,,,1,1
6835,2554,Polygonaceae,Fagopyrum esculentum Moench,,,Arc.,,,,,,,,1,1
6836,2555,Polygonaceae,Fagopyrum tataricum (L.) Gaertn.,,,PIP (UN),,,,,,,,1,
6876,2564,Polygonaceae,Fallopia multiflora (Thunb.) Haraldson,,,IAP (NP),,,,,,,,1,1
12563,2578,Polygonaceae,Persicaria wallichii Greuter & Burdet,,,PIP (UN),,,,,,,,1,1
13370,2587,Polygonaceae,Polygonum equisetiforme Sibth. & Sm.,,,PIP (UN),,,,,,,,1,1
13410,2618,Polygonaceae,Polygonum tinctorium Aiton,,,Arc.,,,,,,,,1,1
14361,2624,Polygonaceae,Rheum rhabarbarum L.,,,,,,,,,,,1,
13508,2639,Portulacaceae,Portulaca grandiflora Hook.,,,PIP (UN),,,,,,,,1,
16521,2641,Tamaricaceae,Tamarix chinensis Lour.,,,PIP (CAP),,,,,,,,1,
4677,2644,Cornaceae,Cornus alba L.,,,,,,,,,,1,1,
4686,2646,Cornaceae,Cornus controversa Hemsl.,,,,,,,,,,1,1,
4701,2647,Cornaceae,Cornus florida L.,,,,,,,,,,,1,
4696,2648,Cornaceae,Cornus florida L. forma rubra (André) E. J. Palmer & Steyerm.,,,,,,,,,,,1,
4712,2649,Cornaceae,Cornus kousa Bürger ex Hance,,,,,,,1,,,1,1,
4722,2650,Cornaceae,Cornus kousa Bürger ex Hance subsp. chinensis (Osborn) Q. Y. Xiang,,,,,,,,,,,1,
4735,2652,Cornaceae,Cornus officinalis Siebold & Zucc.,,,,,,,,,,,1,
5540,2654,Hydrangeaceae,Deutzia crenata Siebold & Zucc.,,,,,,,,,,,1,
5541,2655,Hydrangeaceae,Deutzia crenata Siebold & Zucc. forma plena Schneid.,,,,,,,,,,,1,
5565,2662,Hydrangeaceae,Deutzia scabra Thunb.,,,,,,,,,,,1,
8737,2666,Hydrangeaceae,Hydrangea arborescens L.,,,,,,,,,,,1,
8779,2668,Hydrangeaceae,Hydrangea macrophylla (Thunb.) Ser. var. normalis (E. H. Wilson) H. Hara,,,,,,,,,,,1,
8749,2669,Hydrangeaceae,Hydrangea macrophylla (Thunb.) Ser. forma otaksa (Siebold & Zucc.) E. H. Wilson,,,PIP (CAP),,,,,,,,1,
8790,2670,Hydrangeaceae,Hydrangea paniculata Siebold,,,,,,,,,,,1,
12654,2677,Hydrangeaceae,Philadelphus incanus Koehne,,,,,,,,,,,1,
5405,2689,Nyssaceae,Davidia involucrata Baill.,,,,,,,,,,,1,
20254,2693,Actinidiaceae,Actinidia chinensis Planch. var. deliciosa (A. Chev.) A. Chev.,,,PIP (CAP),,,,,,,,1,
9315,2699,Balsaminaceae,Impatiens balsamina L.,,,PIP (CAP),,,,,,,,1,
5799,2709,Ebenaceae,Diospyros kaki Thunb.,,,PIP (CAP),,,,,,,,1,
5802,2711,Ebenaceae,Diospyros rhombifolia Hemsl.,,,,,,,,,,,1,
6292,2718,Ericaceae,Enkianthus campanulatus (Miq.) G. Nicholson,,,,,,,,,,,1,
12936,2732,Ericaceae,Pieris japonica D. Don ex G. Don,,,,,,,,,,,1,
14504,2744,Ericaceae,Rhododendron indicum (L.) Sweet,,,,,,,,,,,1,
14515,2745,Ericaceae,Rhododendron japonicum C. K. Schneid. forma flavum (Miyoshi) Nakai,,,,,,,,,,,1,
14705,2765,Ericaceae,Rhododendron yedoense Maxim. ex Regel forma poukhanense (H. Lév.) M. Sugim.,,,,,,,1,,,1,1,
12714,2786,Polemoniaceae,Phlox drummondii Hook.,,,PIP (CAP),,,,,,,,1,
12729,2787,Polemoniaceae,Phlox paniculata L.,,,,,,,,,,,1,
12748,2788,Polemoniaceae,Phlox subulata L.,,,,,,,,,,,1,
1130,2795,Primulaceae,Androsace lehmanniana Spreng.,,,,,,,,,,1,1,
5181,2802,Primulaceae,Cyclamen persicum Mill.,,,,,,,,,,,1,
10862,2813,Primulaceae,Lysimachia nummularia L.,,,,,,,,,,,1,
14034,2830,Styracaceae,Pterostyrax hispidus Siebold & Zucc.,,,,,,,,,,,1,
2846,2840,Theaceae,Camellia japonica L.,,,,,1,,1,Ⅰ,,1,1,
2976,2842,Theaceae,Camellia sasanqua Thunb.,,,,,,,,,,,1,
2980,2843,Theaceae,Camellia sinensis (L.) Kuntze,,,PIP (CAP),,,,,,,,1,
16325,2844,Theaceae,Stewartia koreana Nakai ex Rehder,,,,1,,,1,Ⅲ,,1,1,
6602,2845,Eucommiaceae,Eucommia ulmoides Oliv.,,,,,,,,,,,1,
